births-cache-size,marriages-cache-size,deaths-cache-size,ros,threshold,pre-filter-required-fields,max-sibling-age-diff,min-marriage-age,min-parenting-age,max-parenting-age,max-marriage-age-discrepancy,max-death-age,linkage-results-file,reason,priority,required-memory,seed,population,size,corruption-profile,metric,linkage-type,pre-filter,persist-links,evaluate-quality,experiment-id,linkage-phase,pop-number,evaluation-approach,single-path-indirect-evaluation-approach,dual-path-indirect-evaluation-approach
90000,90000,90000,70,0.2,6,50,15,15,55,20,120,cluster-runs/results/thesis-1-hogun-3.csv,blue,20,12,12345,synthetic-scotland,5003k,0,JENSEN_SHANNON,death-groom-identity,true,false,true,C6F3D3627EB06A2A234ADE4915EBCA9FDAD1D6494EDEC49B8B99C2D117CA591D,,2,,,
90000,90000,90000,70,0.4,6,50,15,15,55,20,120,cluster-runs/results/thesis-1-hogun-3.csv,blue,14,12,12345,synthetic-scotland,2482k,0,JENSEN_SHANNON,death-groom-identity,true,false,true,BBBA57ED58AC91E004B0F4166A04C8AE89780D77C76BF8BC594C66224F487AC9,,2,,,
90000,90000,90000,70,0.6,6,50,15,15,55,20,120,cluster-runs/results/thesis-1-hogun-3.csv,blue,20,12,12345,synthetic-dominican-republic,4800k,0,JENSEN_SHANNON,death-groom-identity,true,false,true,7FAEF60422AD415623A173812AF16C094C3460A0CCBAC5B5E81851DE1550677E,,2,,,
90000,90000,90000,70,0.4,6,50,15,15,55,20,120,cluster-runs/results/thesis-1-hogun-3.csv,blue,14,12,12345,synthetic-scotland,2482k,0,JENSEN_SHANNON,death-groom-identity,true,false,true,6E709CE862DB6644CA92073623D90C7A43EC5A393BD7553D1FB18842084E0314,,3,,,
90000,90000,90000,70,0.5,6,50,15,15,55,20,120,cluster-runs/results/thesis-1-hogun-3.csv,green,10,12,12345,synthetic-scotland,13k,A,JENSEN_SHANNON,death-groom-identity,true,false,true,4613FCBB967C7693AACEC96792E64B7584533A5B870DE31E3CB58E79D8FC43DC,,2,,,
90000,90000,90000,70,0.45,6,50,15,15,55,20,120,cluster-runs/results/thesis-1-hogun-3.csv,green,10,12,12345,synthetic-scotland,13k,A,JENSEN_SHANNON,death-groom-identity,true,false,true,-,,4,,,
90000,90000,90000,70,0.35,6,50,15,15,55,20,120,cluster-runs/results/thesis-1-hogun-3.csv,green,12,12,12345,synthetic-scotland,531k,A,JENSEN_SHANNON,death-groom-identity,true,false,true,0701299F306A23584DB23FC15877CDCEB2403CA0C2953F61A7554550BEEB9B29,,2,,,
90000,90000,90000,70,0.4,6,50,15,15,55,20,120,cluster-runs/results/thesis-1-hogun-3.csv,green,10,12,12345,synthetic-scotland,13k,A,JENSEN_SHANNON,death-groom-identity,true,false,true,-,,4,,,
90000,90000,90000,70,0.5,8,50,15,15,55,20,120,cluster-runs/results/thesis-1-hogun-3.csv,green,11,12,12345,synthetic-scotland,133k,A,JENSEN_SHANNON,death-groom-identity-with-occupations,true,false,true,8728D6E2616419D7AF84A2A60CB9948C47FD7ADADFF216850623E386CB545911,,1,,,
90000,90000,90000,70,0.5,8,50,15,15,55,20,120,cluster-runs/results/thesis-1-hogun-3.csv,green,11,12,12345,synthetic-scotland,133k,A,JENSEN_SHANNON,death-groom-identity-with-occupations,true,false,true,DA8075A85F1C4FFF9A476EA3FAC16F0178485D9666251EF0FABEE5A77FBF16EF,,2,,,
90000,90000,90000,70,0.2,6,50,15,15,55,20,120,cluster-runs/results/thesis-1-hogun-3.csv,blue,20,12,12345,synthetic-dominican-republic,2390k,A,JENSEN_SHANNON,death-groom-identity,true,false,true,94C48CC45F98A48EA1467FEBC3FF33953FDEB10617FC046F063782B6F61D36B0,,3,,,
90000,90000,90000,70,0.5,6,50,15,15,55,20,120,cluster-runs/results/thesis-1-hogun-3.csv,green+blue,20,12,12345,synthetic-scotland,2482k,A,JENSEN_SHANNON,death-groom-identity,true,false,true,E3F0FCABE6394C93408864EAB626E6ACBC4A7C1CA25BB9A99017FD62DD38B856,,1,,,
90000,90000,90000,70,0.85,8,50,15,15,55,20,120,cluster-runs/results/thesis-1-hogun-3.csv,green,25,12,12345,synthetic-scotland,10m,A,JENSEN_SHANNON,death-groom-identity-with-occupations,true,false,true,614497F6F0654AF248CDF83389E9034C41CFC83FC6284A83B85071731B276A04,,3,,,
90000,90000,90000,70,0.775,8,50,15,15,55,20,120,cluster-runs/results/thesis-1-hogun-3.csv,green,12,12,12345,synthetic-scotland,133k,A,JENSEN_SHANNON,death-groom-identity-with-occupations,true,false,true,9069D729F26ED70F4CAD0455ECDA2339108183DF83D0A92A95130F460850412A,,3,,,
