births-cache-size,marriages-cache-size,deaths-cache-size,ros,threshold,pre-filter-required-fields,max-sibling-age-diff,min-marriage-age,min-parenting-age,max-parenting-age,max-marriage-age-discrepancy,max-death-age,linkage-results-file,reason,priority,required-memory,seed,population,size,corruption-profile,metric,linkage-type,pre-filter,persist-links,evaluate-quality,experiment-id,linkage-phase,pop-number,evaluation-approach,single-path-indirect-evaluation-approach,dual-path-indirect-evaluation-approach
90000,90000,90000,70,0.3,6,50,15,15,55,20,120,cluster-runs/results/thesis-1-sif-11.csv,blue,14,12,12345,synthetic-scotland,2482k,0,JENSEN_SHANNON,death-groom-identity,true,false,true,-,,4,,,
90000,90000,90000,70,0.35,6,50,15,15,55,20,120,cluster-runs/results/thesis-1-sif-11.csv,green,12,12,12345,synthetic-scotland,531k,A,JENSEN_SHANNON,death-groom-identity,true,false,true,-,,4,,,
90000,90000,90000,70,0.2,6,50,15,15,55,20,120,cluster-runs/results/thesis-1-sif-11.csv,green,25,12,12345,synthetic-scotland,10m,A,JENSEN_SHANNON,death-groom-identity,true,false,true,-,,1,,,
90000,90000,90000,70,0.4,6,50,15,15,55,20,120,cluster-runs/results/thesis-1-sif-11.csv,blue,20,12,12345,synthetic-dominican-republic,4800k,0,JENSEN_SHANNON,death-groom-identity,true,false,true,DB960908E039CE9832F2BA1087317273BF091179BDB3919DC924A614834494EC,,1,,,
90000,90000,90000,70,0.50,6,50,15,15,55,20,120,cluster-runs/results/thesis-1-sif-11.csv,green,12,12,12345,synthetic-scotland,531k,A,JENSEN_SHANNON,death-groom-identity,true,false,true,1A6D1F52E1169A2934A9B73BA902D8A1691D85B35452562DA937AB153387F3E6,,3,,,
90000,90000,90000,70,0.6,6,50,15,15,55,20,120,cluster-runs/results/thesis-1-sif-11.csv,blue,20,12,12345,synthetic-scotland,5003k,0,JENSEN_SHANNON,death-groom-identity,true,false,true,71D664A308B004C6FD6868C98554A849A4BD010FC3B1B5DE307562FF9C1C659D,,3,,,
90000,90000,90000,70,0.55,6,50,15,15,55,20,120,cluster-runs/results/thesis-1-sif-11.csv,green,12,12,12345,synthetic-scotland,531k,A,JENSEN_SHANNON,death-groom-identity,true,false,true,0A857AFA6B2074F16F6D45374A9E282E6CF78142F299F6F812C4A0955BA9B5EE,,2,,,
90000,90000,90000,70,0.4,6,50,15,15,55,20,120,cluster-runs/results/thesis-1-sif-11.csv,blue,20,12,12345,synthetic-dominican-republic,4800k,A,JENSEN_SHANNON,death-groom-identity,true,false,true,7D7E2BB239C2EEB40F7B3559D34594ACA09637E2042A5B0A3DE18EF21FD324BE,,1,,,
90000,90000,90000,70,0.8,8,50,15,15,55,20,120,cluster-runs/results/thesis-1-sif-11.csv,green,12,12,12345,synthetic-scotland,13k,A,JENSEN_SHANNON,death-groom-identity-with-occupations,true,false,true,2753A838D2C6404CF046909BF9211F023FE83C4B0ACFDAC721FCBD027C19E104,,1,,,
90000,90000,90000,70,0.775,8,50,15,15,55,20,120,cluster-runs/results/thesis-1-sif-11.csv,green,12,12,12345,synthetic-scotland,133k,A,JENSEN_SHANNON,death-groom-identity-with-occupations,true,false,true,603521E513CC3ACC7324036B45D82EF4D2CA6134621429A441328BA5C2DEBF29,,1,,,
90000,90000,90000,70,0.75,8,50,15,15,55,20,120,cluster-runs/results/thesis-1-sif-11.csv,green,20,12,12345,synthetic-scotland,5003k,A,JENSEN_SHANNON,death-groom-identity-with-occupations,true,false,true,1015D24404112E6281372FE543ED9B3F2C3DDE506C277937DD4E5BF24E3E55A9,,2,,,
90000,90000,90000,70,0.85,8,50,15,15,55,20,120,cluster-runs/results/thesis-1-sif-11.csv,green,12,12,12345,synthetic-scotland,2482k,A,JENSEN_SHANNON,death-groom-identity-with-occupations,true,false,true,9325499EC86913381E4FF515CB273AF6B888862499B9D5EAE8C910E040F5EC38,,3,,,
90000,90000,90000,70,0.8,8,50,15,15,55,20,120,cluster-runs/results/thesis-1-sif-11.csv,green,12,12,12345,synthetic-scotland,531k,A,JENSEN_SHANNON,death-groom-identity-with-occupations,true,false,true,1AFAE165BC07E02960AAB4141BC7480125489FB485916AAEEC40543C37B6D334,,2,,,
90000,90000,90000,70,0.8,8,50,15,15,55,20,120,cluster-runs/results/thesis-1-sif-11.csv,green,12,12,12345,synthetic-scotland,531k,A,JENSEN_SHANNON,death-groom-identity-with-occupations,true,false,true,9ABEBE023BD5E4E79B7E8FED2C711BF37159F196535087D64603D2CE4A8E27BC,,1,,,
90000,90000,90000,70,0.75,8,50,15,15,55,20,120,cluster-runs/results/thesis-1-sif-11.csv,green,12,12,12345,synthetic-scotland,531k,A,JENSEN_SHANNON,death-groom-identity-with-occupations,true,false,true,F77A22A07F4D803214FC84179108EBD4FE0A0ED5E3FD197F696ADA18F261D6C6,,2,,,
90000,90000,90000,70,0.8,8,50,15,15,55,20,120,cluster-runs/results/thesis-1-sif-11.csv,green,25,12,12345,synthetic-scotland,10m,A,JENSEN_SHANNON,death-groom-identity-with-occupations,true,false,true,4DDFBC21F3FE7BADD5FF59380FFAC1B0A60FDB8F4C6C4E20C649CAC58C739604,,2,,,
90000,90000,90000,70,0.775,8,50,15,15,55,20,120,cluster-runs/results/thesis-1-sif-11.csv,green,12,12,12345,synthetic-scotland,531k,A,JENSEN_SHANNON,death-groom-identity-with-occupations,true,false,true,AC7B356D8D80876A73CD712E51005140C010C83FD0C64B47E8762FAAAA1EA136,,1,,,
90000,90000,90000,70,0.9,8,50,15,15,55,20,120,cluster-runs/results/thesis-1-sif-11.csv,green,12,12,12345,synthetic-scotland,10m,A,JENSEN_SHANNON,death-groom-identity-with-occupations,true,false,true,EBD7A06B58AFE7DBE937412D1A656749357E35D1FD09768307DA412BBB9E3119,,1,,,
90000,90000,90000,70,0.25,2,50,15,15,55,20,120,cluster-runs/results/thesis-1-sif-11.csv,bronze,6,12,12345,synthetic-scotland,531k,0,JENSEN_SHANNON,birth-mother-identity,true,false,true,7C1081FAF3EFF1A5BF7C9929DD090988FBFC45B1A586D102FBE31BF73C2720DE,,1,birth-mother-identity.PARENTAL_STATUS,,
