population,size,pop#,corruption#,threshold,metric,max-sibling-gap,births-cache-size,marriages-cache-size,deaths-cache-size,#ROs,linkage-type
synthetic-scotland,133k,1,0,0.25,JENSEN_SHANNON,40,150000,0,100000,110,birth-death-sibling
synthetic-scotland,133k,1,1,0.25,JENSEN_SHANNON,40,150000,0,100000,110,birth-death-sibling
synthetic-scotland,133k,1,2,0.25,JENSEN_SHANNON,40,150000,0,100000,110,birth-death-sibling
synthetic-scotland,13k,1,0,0.67,JENSEN_SHANNON,40,15000,0,0,110,sibling-birth-bundler
synthetic-scotland,13k,1,1,0.67,JENSEN_SHANNON,40,15000,0,0,110,sibling-birth-bundler
synthetic-scotland,13k,1,2,0.67,JENSEN_SHANNON,40,15000,0,0,110,sibling-birth-bundler
synthetic-scotland,13k,2,0,0.67,JENSEN_SHANNON,40,15000,0,0,110,sibling-birth-bundler
synthetic-scotland,13k,2,1,0.67,JENSEN_SHANNON,40,15000,0,0,110,sibling-birth-bundler
synthetic-scotland,13k,2,2,0.67,JENSEN_SHANNON,40,15000,0,0,110,sibling-birth-bundler
synthetic-scotland,13k,3,0,0.67,JENSEN_SHANNON,40,15000,0,0,110,sibling-birth-bundler
synthetic-scotland,13k,3,1,0.67,JENSEN_SHANNON,40,15000,0,0,110,sibling-birth-bundler
synthetic-scotland,13k,3,2,0.67,JENSEN_SHANNON,40,15000,0,0,110,sibling-birth-bundler
synthetic-scotland,13k,4,0,0.67,JENSEN_SHANNON,40,15000,0,0,110,sibling-birth-bundler
synthetic-scotland,13k,4,1,0.67,JENSEN_SHANNON,40,15000,0,0,110,sibling-birth-bundler
synthetic-scotland,13k,4,2,0.67,JENSEN_SHANNON,40,15000,0,0,110,sibling-birth-bundler
synthetic-scotland,13k,5,0,0.67,JENSEN_SHANNON,40,15000,0,0,110,sibling-birth-bundler
synthetic-scotland,13k,5,1,0.67,JENSEN_SHANNON,40,15000,0,0,110,sibling-birth-bundler
synthetic-scotland,13k,5,2,0.67,JENSEN_SHANNON,40,15000,0,0,110,sibling-birth-bundler
synthetic-scotland,133k,1,0,0.67,JENSEN_SHANNON,40,150000,0,0,110,sibling-birth-bundler
synthetic-scotland,133k,1,1,0.67,JENSEN_SHANNON,40,150000,0,0,110,sibling-birth-bundler
synthetic-scotland,133k,1,2,0.67,JENSEN_SHANNON,40,150000,0,0,110,sibling-birth-bundler
synthetic-scotland,133k,2,0,0.67,JENSEN_SHANNON,40,150000,0,0,110,sibling-birth-bundler
synthetic-scotland,133k,2,1,0.67,JENSEN_SHANNON,40,150000,0,0,110,sibling-birth-bundler
synthetic-scotland,133k,2,2,0.67,JENSEN_SHANNON,40,150000,0,0,110,sibling-birth-bundler
synthetic-scotland,133k,3,0,0.67,JENSEN_SHANNON,40,150000,0,0,110,sibling-birth-bundler
synthetic-scotland,133k,3,1,0.67,JENSEN_SHANNON,40,150000,0,0,110,sibling-birth-bundler
synthetic-scotland,133k,3,2,0.67,JENSEN_SHANNON,40,150000,0,0,110,sibling-birth-bundler
synthetic-scotland,133k,4,0,0.67,JENSEN_SHANNON,40,150000,0,0,110,sibling-birth-bundler
synthetic-scotland,133k,4,1,0.67,JENSEN_SHANNON,40,150000,0,0,110,sibling-birth-bundler
synthetic-scotland,133k,4,2,0.67,JENSEN_SHANNON,40,150000,0,0,110,sibling-birth-bundler
synthetic-scotland,133k,5,0,0.67,JENSEN_SHANNON,40,150000,0,0,110,sibling-birth-bundler
synthetic-scotland,133k,5,1,0.67,JENSEN_SHANNON,40,150000,0,0,110,sibling-birth-bundler
synthetic-scotland,133k,5,2,0.67,JENSEN_SHANNON,40,150000,0,0,110,sibling-birth-bundler
synthetic-scotland,530k,1,0,0.67,JENSEN_SHANNON,40,450000,0,0,110,sibling-birth-bundler
synthetic-scotland,530k,1,1,0.67,JENSEN_SHANNON,40,450000,0,0,110,sibling-birth-bundler
synthetic-scotland,530k,1,2,0.67,JENSEN_SHANNON,40,450000,0,0,110,sibling-birth-bundler
synthetic-scotland,530k,2,0,0.67,JENSEN_SHANNON,40,450000,0,0,110,sibling-birth-bundler
synthetic-scotland,530k,2,1,0.67,JENSEN_SHANNON,40,450000,0,0,110,sibling-birth-bundler
synthetic-scotland,530k,2,2,0.67,JENSEN_SHANNON,40,450000,0,0,110,sibling-birth-bundler
synthetic-scotland,530k,3,0,0.67,JENSEN_SHANNON,40,450000,0,0,110,sibling-birth-bundler
synthetic-scotland,530k,3,1,0.67,JENSEN_SHANNON,40,450000,0,0,110,sibling-birth-bundler
synthetic-scotland,530k,3,2,0.67,JENSEN_SHANNON,40,450000,0,0,110,sibling-birth-bundler
synthetic-scotland,530k,4,0,0.67,JENSEN_SHANNON,40,450000,0,0,110,sibling-birth-bundler
synthetic-scotland,530k,4,1,0.67,JENSEN_SHANNON,40,450000,0,0,110,sibling-birth-bundler
synthetic-scotland,530k,4,2,0.67,JENSEN_SHANNON,40,450000,0,0,110,sibling-birth-bundler
synthetic-scotland,530k,5,0,0.67,JENSEN_SHANNON,40,450000,0,0,110,sibling-birth-bundler
synthetic-scotland,530k,5,1,0.67,JENSEN_SHANNON,40,450000,0,0,110,sibling-birth-bundler
synthetic-scotland,530k,5,2,0.67,JENSEN_SHANNON,40,450000,0,0,110,sibling-birth-bundler
synthetic-scotland,530k,1,0,0.67,JENSEN_SHANNON,20,15000,0,0,110,sibling-birth-bundler
synthetic-scotland,530k,1,1,0.67,JENSEN_SHANNON,20,15000,0,0,110,sibling-birth-bundler
synthetic-scotland,530k,1,2,0.67,JENSEN_SHANNON,20,15000,0,0,110,sibling-birth-bundler
synthetic-scotland,530k,1,0,0.67,JENSEN_SHANNON,40,15000,0,0,60,sibling-birth-bundler
synthetic-scotland,530k,1,0,0.67,JENSEN_SHANNON,40,15000,0,0,160,sibling-birth-bundler
synthetic-scotland,530k,1,0,0.67,JENSEN_SHANNON,40,15000,0,0,210,sibling-birth-bundler
