name	count
ALEXAND. NIKOL.	1
KARL VOLRAD	1
ERNST ARTUR	1
JOHAN MAURITZ EUGEN	1
AMANDA CATARINA	3
KARL JOHAN ALEXIS	1
BERET KRISTINA	2
AMANDA MARGR.	2
KRISTINA ERIKA ANDRIETTA	4
JOSE OLOF	1
FR. CHR.	4
CAJSA CICILIA	9
ADA AMALIA ELEONORA	1
VERNER KONRAD FERDINAND	1
MARTA CECILIA	3
FRANS PHILIPP	1
ISAAC NICLAS	3
ANNA MARGRETA SOFIA	1
FREDRIKA MARIANN	1
JONAS VERNER	8
SVEN VICTOR	1
FREDRIKA MARIANA	5
BETTY LOVISA AUGUSTA	1
JOH. JOSEF.	1
CARL ISRAEL	3
ERIKA THILDA	1
ELIDA THERESIA	3
C. ARON	1
PE GULLBRAND	1
SELMA KATARINA SELMA	1
FREDRIKA PETR.	1
JOHAN OLOF HELGE	1
CATARINA PAULINA JOSEFINA	1
SEVERA KAROLINA	1
ELOF ARNOLD	2
MARTA CHRIST.	2
ERIK FRANS OLOF OSKAR	9
A	27
HILMA VILHELMINA	7
B	2
C	6
D	1
ULLA BENEDIKT	1
E	16
F	1
G	11
H	2
I	3
J	16
K	1
L	14
M	16
GUSTAF EDV.	5
N	13
O	16
AUGUSTA ELIN ELEONORA	1
PER ERIK KRISTOFER	2
P	19
S	3
T	1
RAKEL CAJSA	4
U	2
OLOF KONRAD BERNER	1
W	1
VILHELM VICTOR VALFRID	1
ERIK KLAS	2
ANDERS LARS	8
ERIC SEVERIN	1
PER JOHAN ARVID	1
JULIA SIGNE EMILIA	1
KRIST. MAGDAL.	3
AXEL FRITIOFF	1
KARL GÖSTA	6
KRISTINA JOSEF	1
CLAËS AND:	1
ERIK FRITIOF VALDEMAR	1
AMANDA MARIA	35
MAGL. LOVISA	3
ANNA FR.	63
GUST. AUGUST	2
KAROLIN	1
¤LIN KRISTINA	4
JOSEF ANDREAS	4
SIGNE MARGRETA EMERENTIA	1
KARIN MATILDA	7
OLIVA ERICA	1
CARL RUPERT LEOPOLD	1
FRITZ PAULIN	1
SELMA GEORGINA	7
JOSEFINA LOVISA	12
JOH:A PETRONELLA	6
BERNHARDINA ELISEBA	1
PER GATTJON	1
GERHARD HELMER	2
ANNA GAISA	1
JONAS HEDVIG	1
HULDA EUFROSYN.	1
SEREDINA AGNE JOHANNA	1
ELIN SARA SOFIA	1
PEHR FRED.	1
L. NIKL	1
MARGRETHA ELICAB.	1
ELIS AFVANDER	1
C. ANT	1
¤	3232
HULDA EUFROSYNE	1
ALBERTA SOFIA	1
LISA AGATA	2
HILMA BARBARA	1
SYRENA VIKTORIA	1
HULDA EUFROSYNA	21
VIVI MARIA	1
BRITHA MARGTHA	1
¤IA FREDRIKA	4
CARL FRITHIOF	17
EMILIA AMANDA	1
MARIA ALINE	3
ANNA AQUILINA	4
ANNA ATTAVIA	1
HULDA CHR. PETRON.	1
ALBERT ANSHELM ENGELBREKT	1
EMIL OSSIAN	4
KRISTIAN VIKTOR	1
VIKTORIA KATARINA WILHELMINA	1
MARIA ALINA	2
JENNY ELISE	7
SYSTER ANNA EUGENIA	2
ALMA VICTORIA	9
KONRAD NIKLAS THEODOR	1
ENGLA MARGRITA	1
HILDA TERESE	1
KLARA ELISABET MARIA	2
INGBORG	3
CHRIST. MARTIN	1
CHARL. FREDR.	1
CHRISTIAN NIKLAS	1
AGNES AUGUSTA WIKTORIA	1
XANDRA EUGENIA	1
BEDA MINETTA	1
NIKKOLINA INGEBORG	1
MARIA (MATHILDA)	1
MARGARETHA CATHRINA	4
SIGNE ELEONORA KAROLINA	1
AMANDA MARG.	1
JENNY ELISA	1
MATS KONRAD	1
ANDERS FRED:	1
PAULINA KATHRINA	1
GÖTA KLARA	1
JENNY ELIS.	1
GERHARD OSCAR	2
MÅRTEN ISRAEL	1
ANDERS FRED.	13
NIS PETTER	1
OL. SALMON	1
MATHILDA OLIVIA AUGUSTA	1
[JOHAN] OLOF DANIEL	1
AMALIA ERIKA	14
ERIKA GUST.	3
ANDERS (ELIS)	1
CHRISTINA MAGARETHA	1
JOSEFINA ELEANA	1
ANNA ELIDA VIRGINA	1
BRITA CRISTINA	2
INGRID ANETTE	1
STINA MARGARETHA	12
ANNA EBBA MARIA	1
OLGA DOROTEA	1
JONAS MARCELLUS	1
ERNST JOHAN AXEL	1
SARA SABINA	13
PER EDWARD FRITHIOF	1
ANTON ALFRED	14
EVA DESIDERIA	1
IDA EUPHROSYNE	1
NILS PETTER PAULIN	2
MARGARETA TEOLINDA	2
ERNST WILLIAM	3
KAT. EMELINA	1
EWELINA CHRISTINA	2
EBBA AUGUSTA OTTILIA	1
EUGENIA KRISTINA ELEONORA	2
DAVID HILARIUS	1
ANDREAS WILLIAM	2
CARL OTTO HERMAN	1
ROSA LINNÉA	1
