name	count
VÅCTMAN	1
SCHEDROVISKI	1
PERSSON D.	1
FR. CHR.	3
ERIKSSON WESTMAN	1
TUFVERG	1
LÖFWENMARK	8
ERSSON YL	1
ERSS. HOLMBERG	3
HANSSON OLIN (ELL. OLIK)	1
ERICS:DR ÖQVIST	1
JANS. SELLEN	1
BUGGSTEDT	1
STOR	12
ELIASDR	18
KÄCK	73
SJULS GL.	1
SVENSSON URMAN	1
ÖNDESSON	2
NILSSON (ISRAELSDR.)	1
JACOBSS: LUNDSTRÖM	1
MÅRTENSSON NORDVALL	1
GUNNERIUS HJELMEN	1
JOH¤ ¤BERG	1
WALLIN JOHANSSON	2
APELDORP	1
FRANCK	1
HÄLLMAN	17
APELDORF	1
OLOFSDR WIKSTRÖM	2
LINDMARK	750
ESON HELLSTRÖM	1
SELBERG	53
(LUNDMARK) BOSTRÖM	1
HÖGBERG	399
KJELLEN	3
J	3
FEINSTEN	1
L	1
LYBECK	1
M	1
JOHANSDOTTER LAESTANDER	1
N	1
MATSDR HÖGBACK	1
U	1
ERSSON THUNHOLM	1
KJELLER	6
ANUNDSD.TR	4
PEHRSSON GAMLA	1
ANDERSSON TILLBERG	2
KRUSKOPP	17
SEDIN	59
CORNELL	21
OLOFSSON BACKMAN	1
BRÄNNFORS	2
RYDIN	3
PERSSON TYSK	1
MIK:SON HELLGREN	1
TELLANDER	1
HADENSTEDT	1
BARTOLSEN	1
SVENSON TJERNLUND	1
MAGNED.R	1
ERSSON Y.	2
ANDERSSON MÖLLER	5
ELIASD.	2
ERSSON STENLUND	8
ABRAMSSON RENBERG	1
JOHANSSON ÅLUND	1
ICASSON	1
MATTSSON STEINVALL	1
TRUMPETARE	33
DITTLER	1
STUF	1
OLOFSSON MUNTER	10
ZACHRISSON BRÄNNSTRÖM	2
HÄGGSTRÖM PERSSON	1
KLOMMA	1
PERSDR HOLMBOM	3
¤	833
NORGREN VAHLBERG	1
ELFVEN	3
OLOFSSON NORLUND	2
JOHANSSON TRÄFF	2
GAUFFIN	14
JONSSON LIND¤	2
KÄHL	1
GISSBERGER	1
JOHANSSON REDLIG	1
PERS:N	1
¤RSTRÖM	2
JOHSSN LUNDGREN	1
VESSLUND	1
HANSDR STENLUND	1
AND.SD.R	19
LÖFANDER	2
NORBOM	5
NYCKLING	10
NILSD:R FJELLSTRÖM	1
SJULSD.TR	2
OLOFSDR WESTERBERG	1
JOH.S.DR	1
JOHANS.N	2
JONSSON SJÖBERG	9
JAKOBSSON STÅLBERG	1
ABRAHAM ANTON	2
JOHANS.R	3
GRÖNQVIST ADALBERG	1
ANDERSON LINDFORS	1
DECKER	17
DEGERMARK JONSDR	3
ELID:DR	1
OLOFSON WIKLUND	1
STUV	1
BRYGGELSSON	2
SEDEN	1
RYDEN	30
SEDER	1
RENSMAN	1
VESTLIN	1
ÖRLUND	100
GEINTSCHEIN	1
CARL.DR	1
ÖSTENSSON SUNDQVIST	2
FORSSVALL	6
JONSDR. OLOFSSON	1
ERSSON DAHLGREN	2
JÖNSSON SJÖLUND	1
FURTENBACK	32
JÄRNFÄLLDT	1
JOH:SON BERGLUND	1
OHLS	1
FRANKE	14
STYF	111
JHNSDTR.	1
SILFVERBRANDT	1
LINDSKÖLD	43
GUSTAFSSON EDLUND	1
LOKAT	1
NORBIN	1
CARKMAN	1
AXELSSON NABB	2
EKBORN	1
ELFVIN	1
(SVENSSON) JOHANSSON	1
JAKOBSSON BJURMAN	1
ERIKSSON HÄLLSTEN	1
MARKUSSON RÅDSTRÖM	2
VICCUSSON LINDMARK	1
BJUGGREN	1
PEHRSDOTTER STÅLSPETS	1
ODÉN	1
MAURITSDOTTER	7
ANDERSDR. NORSTEN	1
HAGGSTRÖM	3
ISAKS DR.	2
ENENSTEDT	1
CLEMETSDTR	2
JOH. MARTIN	1
FRANKS	1
JONSDR HEDMAN	4
ANDERSSON ÅLANDER	2
JONSSON FLINTA	1
FURTENBACH	30
KÄLL	1
PEHRSDTR	54
HEDMAN STENMAN	1
LARSSON TJERNSTRÖM	2
ARVED GUSTAF	1
SÖDER FRÖST	3
JOSEPHSD:TR	1
ERIKSSON FÖDD ANDERSSON	1
NYNÄS FORSBERG	1
TINGLÖF	5
AND.SON LUNDBERG	4
MATTSSON LUND	5
PEHRSSON NORDQVIST	1
¤ERHAEDSSON	1
JOHANSS FERM	1
ESPING	1
MAGNUS JUSTINUS	2
KLEMENSDTR.	1
MATSS: VESTLING	1
MARTINSDOTTER	57
BJ¤	1
NICKUSDR.	2
CARLSSON MARKLUND	8
MALINAS KARL OL.	3
MÄRKEL	2
JOHANS:S	2
NILSSON ÅLUND	2
ANDERSDT:R	6
KAIJSER	1
JOHANS:N	2
NILSSON (ÅGREN)	1
JON:S PETTERSSON	1
HJELLSTÖM	1
MEIJERBERG	14
WIDELUND	2
ÅGREN NICKUSSON	1
JOH:SS. ÖSTERBERG	1
NILSD:R BÅGA	1
KLINGSTADT	1
STÅNGQVIST	28
JOHANSSON ÖRBOM	2
WESSBERG	29
HERMSSON	2
GREDMAN	1
MARTINUS THEODOR	4
OLOFSSON ÅGREN	8
NORBER	2
ANDERSSON F. WUNDER	1
PEHRSDR:	4
JAC.SSON	1
JONSSON GALANT	2
ERSSON R¤	1
PERSD.	28
BOD	3
ERSSON YNG	5
ARRHENIUS	1
PEHRSDR.	256
BOM	7
ANDERSSON STÄRKMAN	10
NAESLUND	8
NILSSON ÖSTGREN	5
JONSDR HOLMLUND	3
JOH:SS. FROM	1
BLOMQVIST LARSSON	1
EVENTSSON	1
AND:SON LUNDHOLM	1
ZANDER	2
LARSSON SVEDBERG	1
WILSLUND	1
ELIAESON LUNDMARK	1
(DANIELSSON) DEGERMAN	1
JOHANSDR. FANT	1
ARONSSON NYBERG	2
AND.SON BERGGREN	4
THOMASSON FORSEGREN	1
ANDERSDR HOLMSTRÖM	2
ISAKSON LINDBLOM	1
JONSSON SUND	1
PERSSON LEKAT	1
FRANS.	1
SOLOMONSDR	9
SIÖBERG	1
JOHAN FREDRIC	28
HOLMQUIST	45
AXELSD.TR	1
ANDERSSON WIKLUND	23
JOHAN FREDRIK	22
KÄRR	1
ERIC EDVARD	8
BRO	3
CHRISTSDR	3
JONADOTTER	4
H. DR	1
JOHANSDOTTER ÖHMAN	1
LARSSON HÖGBERG	2
JAKOBSDR	275
RISÉN	5
JONSSON FORS	1
PALMSTRÖM	1
OLOFS:S VIKLUND	1
PERSSON LOKATT	1
ERSSON LUNDSTRÖM	6
SÄLLGREN	3
VÄST	3
FRANTZ	1
JONSS GUTSA	1
FRANTS	3
SCHMIDT	4
MATTHSSON	26
TÖRNSTÉN	1
ÖSTERMAN	41
JOHANSD:	1
MÅNSSON BALLEJAUR	1
LARSSON BISTRÖM	7
TERNQVIST	1
SIDENQVIST	1
AVFSTRÖM	1
ÅQVIST	7
MICKELSDR.	3
STYMAN	1
JAKOBSSON ÅSTRÖM	2
VIKLUND FÖDD OLOFSDOTTER	1
ANDERS:S LINDFORS	1
SCHYLBERG	2
COGNELL	7
KEYSER	1
JONSD.R ERIKSD.R	1
CHRISTOFERSSON LIDMAN	2
JOHANSD.	93
CLEMETSD:R	13
STENQVIST ELOFSSON	1
JONSDR. MARKLUND	3
HÖGLUND F. JOHANSSON	1
BUR	87
JONSSON BERGST	3
ERICSSON HEDLUND	1
MATTSSON LÖFROTH	1
NÄSHOLM	14
LINDERUDT	1
(JONSSON) ISAKSSON	1
BJÖRKLUND NILSSON	1
KARLSSON SÖDERSTRÖM	2
ALEXANDERSDOTTER NÄS	1
PERSSON HOLBERG	3
PERSDR	1819
SÖDERMARK FÖDD VANSTRADT	1
BARTHED	1
ANDERS: SEGER	1
BARTHEL	19
ERISD:R	3
HUGA	1
JOH.SON LUNDGREN	3
ANDERSS DAHLQVIST	1
ISRAELSD:TR	3
KRYGER	4
JOHSON HÖGLUND	1
KJELLBOM	1
(LUNDGREN	1
JOH. ÖSTERBERG	1
KARLSSON JOHANSSON	7
HUGG	1
SEGREDSD:R	1
PERSSON Y.	2
SIVERTHSSON	1
ERSDOTTER VESTERLUND	1
KRUSKOFF	1
OLOFSSON VIKMAN	2
NORSTRÖM (ERIKSSON)	1
AXELSSON BERGQVIST	2
ANDERSSON HOLMBERG	10
ANDERSDTR.	26
NORDSTRÖM PERSSON	1
ESAIASSON BERGSTRÖM	2
JOHANSDOTTER STRANDBERG	1
ANDERSSON BÄCKER	1
LÖFBERG	114
LARSSON STINNERBORN	1
ERSSON QWARNSTRÖM	1
DAHLBERG J.N	1
HUFS	1
HÖGMAN OLSSON	1
PERSSON FÖDD JOHANSSON	1
OLSSON HEDLUND	4
SÄFSTEN	1
SACHRISS.	1
FÄLLGREN	5
OLOFSSON SÖDERSTRÖM	1
ZACHRISS. ENBERG	1
CARLSDR LINDBERG	1
OLSS. BACKSTR	1
JANSSON NORD	1
SIGFRIDZ:S	1
HEDIN OLSSON	1
ABRAHAMSSON HAMMARBERG	1
ENHOLM	1
HENRIKSSON WESTERHOLM	1
MATHIAS	154
RÖNNMARCK	1
PAULIDR	1
BARTHAL	1
FREDRIC LUDVIG	1
ERIKSSON WALSÅS	1
HELLGVIST	1
BUNZOW	4
MUNTER JOHANSSON	3
CAJSADOTTER	1
KIERNBERG	1
THOMASSON JÄRNHÄST	1
OLOFSSON NYGREN	16
ERSDTR. GRÖNÅKER	1
HUKE	1
