population,size,pop#,corruption#,linkageRecipe-approach,threshold,metric,max-sibling-gap,tp,fp,fn,precision,recall,f-measure,link-time-seconds,max-memory-usage,#ROs,code-version,hostname,linkageRecipe-fields
synthetic-scotland,13k,1,1,sibling-birth-bundler,0.67,JENSEN_SHANNON,25,18736,35,2175,0.9981,0.8960,0.9443,48,92443176,70,799f9bfcecdce053d602d8a790afee31b42d65d9,sif-7.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,13k,2,0,sibling-birth-bundler,0.67,JENSEN_SHANNON,25,19464,49,31,0.9975,0.9984,0.9979,44,1496436816,70,799f9bfcecdce053d602d8a790afee31b42d65d9,sif-3.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,13k,1,2,sibling-birth-bundler,0.67,JENSEN_SHANNON,25,16818,34,4093,0.9980,0.8043,0.8907,47,947557104,70,799f9bfcecdce053d602d8a790afee31b42d65d9,sif-2.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,13k,3,0,sibling-birth-bundler,0.67,JENSEN_SHANNON,25,20085,76,37,0.9962,0.9982,0.9972,48,1414171840,70,799f9bfcecdce053d602d8a790afee31b42d65d9,sif-6.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,13k,3,1,sibling-birth-bundler,0.67,JENSEN_SHANNON,25,17962,64,2160,0.9964,0.8927,0.9417,42,294140320,70,799f9bfcecdce053d602d8a790afee31b42d65d9,sif-7.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,13k,1,0,sibling-birth-bundler,0.67,JENSEN_SHANNON,25,20862,47,49,0.9978,0.9977,0.9977,102,232470120,70,799f9bfcecdce053d602d8a790afee31b42d65d9,sif-5.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,13k,3,2,sibling-birth-bundler,0.67,JENSEN_SHANNON,25,16217,50,3905,0.9969,0.8059,0.8913,42,1941792664,70,799f9bfcecdce053d602d8a790afee31b42d65d9,sif-3.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,13k,4,0,sibling-birth-bundler,0.67,JENSEN_SHANNON,25,19691,85,26,0.9957,0.9987,0.9972,43,1728492720,70,799f9bfcecdce053d602d8a790afee31b42d65d9,sif-2.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,13k,4,1,sibling-birth-bundler,0.67,JENSEN_SHANNON,25,17719,71,1998,0.9960,0.8987,0.9448,43,1414171840,70,799f9bfcecdce053d602d8a790afee31b42d65d9,sif-6.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,13k,2,2,sibling-birth-bundler,0.67,JENSEN_SHANNON,25,15482,41,4013,0.9974,0.7942,0.8842,92,681827696,70,799f9bfcecdce053d602d8a790afee31b42d65d9,sif-11.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
